event_link,event_link-href,event_title1,event_image-src,event_text,event_organizer__CCCB,event_maplink__1,event_cost__6,event_venue__CCCB,event_category__CCCB__Exposición,event_id,event_title2,event_start,event_end
"«Antibiòtic»","http://www.cccb.org/es/actividades/ficha/antibiotic/226633","«Antibiòtic»","http://www.cccb.org/rcs_gene/BarriBrossa-Antibiotic_Sergi_Mari_1000x560_1.jpg","Llega la nueva edición de BarriBrossa, el encuentro de actividades en torno a la figura de Joan Brossa organizada por La Seca Espai Brossa. En esta ocasión, el CCCB acoje un espectáculo performativo dirigido por Sergi Marí a cargo de la Cia. La Trup. que está basado en la obra Antibiòtic. Aforismes per a un temps de crisi de Ricard Ripoll.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/antibiotic/226633","Espectáculo performativo en el marco de BarriBrossa 2017","16 mayo 2017","16 mayo 2017"
"Crisis del lenguaje, café literario y vanguardias","http://www.cccb.org/es/actividades/ficha/crisis-del-lenguaje-cafe-literario-y-vanguardias/226142","Crisis del lenguaje, café literario y vanguardias","http://www.cccb.org/rcs_gene/Kurt_Schwitters_by_Lissitzky__1925__webCCCB.png","Hace casi 100 años que las vanguardias literarias supusieron un cambio radical en el mundo del arte y plantearon una renovación del lenguaje que ha asentado las bases de la modernidad literaria. ¿Por qué  y de dónde surge este impulso? ¿Cómo se concreta? ¿Cómo cambia el lenguaje? El curso se centrará principalmente en la literatura en lengua alemana.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/crisis-del-lenguaje-cafe-literario-y-vanguardias/226142","Seminario a cargo de Marisa Siguan","26 abril, 3, 10, 17 y 31 mayo 2017","26 abril, 3, 10, 17 y 31 mayo 2017"
"«Alex» de Pierre Lemaitre","http://www.cccb.org/es/actividades/ficha/alex-de-pierre-lemaitre/225389","«Alex» de Pierre Lemaitre","http://www.cccb.org/rcs_gene/Klub-lectura-fitxa_10.jpg","La lectura de la novela Alex —probablemente la más entretenida y popular (en el mejor sentido de la palabra) de las analizadas en el Klub— nos permitirá discutir cómo se genera una intriga, la figura del detective y la capacidad de manipulación del lector, entre otros temas.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/alex-de-pierre-lemaitre/225389","Club de lectura de los Amigos del CCCB","17 mayo 2017","17 mayo 2017"
"Poetry Slam Barcelona","http://www.cccb.org/es/actividades/ficha/poetry-slam-barcelona/226368","Poetry Slam Barcelona","http://www.cccb.org/rcs_gene/cccb_poetry-slam_MAIG.jpg","Palabra y escena. Poetry Slam Barcelona es un campeonato mensual de poesía, pero también una plataforma de formación, creación y difusión de la literatura oral contemporánea.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/poetry-slam-barcelona/226368","Creación a partir de la palabra y la escena","20 mayo 2017","20 mayo 2017"
"Visita comentada a la exposición  «Pere Torné Esquius» en el Museu Nacional d’Art de Catalunya a cargo de los comisarios","http://www.cccb.org/es/actividades/ficha/visita-comentada-a-la-exposicion-pere-torne-esquius-en-el-museu-nacional-dart-de-catalunya-a-cargo-de-los-comisarios/226118","Visita comentada a la exposición  «Pere Torné Esquius» en el Museu Nacional d’Art de Catalunya a cargo de los comisarios","http://www.cccb.org/rcs_gene/Balanci-ok.jpg","Exposición sobre la singular obra del pintor y dibujante Pere Torné Esquius (Barcelona 1879- Flavancourt, Francia, 1936).","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/visita-comentada-a-la-exposicion-pere-torne-esquius-en-el-museu-nacional-dart-de-catalunya-a-cargo-de-los-comisarios/226118","Oferta exclusiva para los Amigos del CCCB","30 mayo 2017","30 mayo 2017"
"«Photography as a business» Márqueting para fotógrafos","http://www.cccb.org/es/actividades/ficha/photography-as-a-business-marqueting-para-fotografos/226488","«Photography as a business» Márqueting para fotógrafos","http://www.cccb.org/rcs_gene/imagen-de-campana_fitxaweb.jpg","¡Sácale partido a tus fotorreportajes con esta Masterclass! El experto Marc Prüst viene a Bcn para ayudarte a definir el valor de tu marca, tu audiencia, clientes potenciales y modelos de negocio efectivos.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/photography-as-a-business-marqueting-para-fotografos/226488","Actividad para profesionales","18 mayo 2017","18 mayo 2017"
"Realidades de la ilusión","http://www.cccb.org/es/actividades/ficha/realidades-de-la-ilusion/226177","Realidades de la ilusión","http://www.cccb.org/rcs_gene/RealitatsIl_lusio_webCCCB.png","De fuente de burla e inevitable desilusión a esperanza de realización de algo intuido o anhelado, la ilusión se precipita siempre en caleidoscopios dobles y perpetuamente ambiguos. Aparentemente urdida en torno a la percepción, invierte los valores de lo real, algunas veces para promover el ridículo, otras para permitirnos vivir con alegría en un mundo lleno de penurias. Pero, ¿qué pasa cuando lo que conocemos como real no es sino una ilusión? O, al revés, ¿cuándo aquello ilusorio es el último anclaje de una realidad?","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/realidades-de-la-ilusion/226177","Con Víctor Molina, Pere Saborit, Sonia Fernández-Vidal, Roberto Fratini, Òscar Vilarroya, Mag Lari","24 abril, 8, 15, 22 y 29 mayo 2017","24 abril, 8, 15, 22 y 29 mayo 2017"
"Primavera","http://www.cccb.org/es/actividades/ficha/primavera/223542","Primavera","http://www.cccb.org/rcs_gene/Sedmikrasky_de_V_ra_Chytilova.jpg","Llegada la primavera, salimos de nuestros refugios. Es la estación del redescubrimiento de la luz. He aquí una degustación de títulos que tratan de crear una nueva mirada hacia el mundo exterior.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/primavera/223542","Archivo Xcèntric","28 abril - 31 mayo 2017","28 abril - 31 mayo 2017"
"Visita comentada a la exposición «Fenómeno Fotolibro» a cargo de Moritz Neumüller","http://www.cccb.org/es/actividades/ficha/visita-comentada-a-la-exposicion-fenomeno-fotolibro-a-cargo-de-moritz-neumuller/225775","Visita comentada a la exposición «Fenómeno Fotolibro» a cargo de Moritz Neumüller","http://www.cccb.org/rcs_gene/fotollibreimatgewebok_1.jpg","La exposición Fenómeno Fotolibro contribuye a ofrecer nuevas perspectivas sobre la importancia y el impacto que ha tenido el fotolibro en la cultura visual de nuestro tiempo, trazando un recorrido que va desde sus inicios hasta la gran producción contemporánea. Ofrece la visita Moritz Neümuller, que ha que ha sido el comisario ejecutivo de todo el proyecto.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/visita-comentada-a-la-exposicion-fenomeno-fotolibro-a-cargo-de-moritz-neumuller/225775","Actividad exclusiva para los Amigos CCCB","21 marzo, 25 mayo 2017","21 marzo, 25 mayo 2017"
"«Fenómeno Fotolibro» para personas sordas","http://www.cccb.org/es/actividades/ficha/fenomeno-fotolibro-para-personas-sordas/226496","«Fenómeno Fotolibro» para personas sordas","http://www.cccb.org/rcs_gene/Fenomen_Fotollibre_imatge.jpg","Domingo 21 de mayo y sábado 10 de junio, además del servicio habitual de visitas comentadas de fin de setmana, se ofrecerá un servicio de interepretación  en Lengua de Signos Catalana a la exposición Fenómeno Fotolibro.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/fenomeno-fotolibro-para-personas-sordas/226496","Visita comentada con traducción en Lengua Catalana de signos","21 mayo - 10 junio 2017","21 mayo - 10 junio 2017"
"Por una democratización del conocimiento - Conferencia cancelada","http://www.cccb.org/es/actividades/ficha/por-una-democratizacion-del-conocimiento-conferencia-cancelada/226013","Por una democratización del conocimiento - Conferencia cancelada","http://www.cccb.org/rcs_gene/Roberto-Mangabeira-Unger-1000.jpg","Conferencia de Roberto Mangabeira Unger, exministro de Asuntos Estratégicos en los gobiernos brasileños Lula y Rousseff.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/por-una-democratizacion-del-conocimiento-conferencia-cancelada/226013","Conferencia de Roberto Mangabeira Unger","11 mayo 2017","11 mayo 2017"
"Primera Persona 2017","http://www.cccb.org/es/actividades/ficha/primera-persona-2017/226021","Primera Persona 2017","http://www.cccb.org/rcs_gene/primera-persona-1000x650.jpg","Este año Primera Persona celebra su sexta edición y presenta una nueva ronda de relatos de vida en el Teatro CCCB: monólogos, conciertos, lecturas y espectáculos de lo más variados. El festival también celebra su segunda edición en La Casa Encendida de Madrid.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/primera-persona-2017/226021","Dos jornadas de autobiografía en directo: conciertos de música pop, monólogos tragicómicos, teatro y narrativa","12 - 13 mayo 2017","12 - 13 mayo 2017"
"Una propuesta filosófica sobre la vida humana","http://www.cccb.org/es/actividades/ficha/una-propuesta-filosofica-sobre-la-vida-humana/226143","Una propuesta filosófica sobre la vida humana","http://www.cccb.org/rcs_gene/esquirolweb.png","El curso presentará una filosofía de la condición y de la vida humana a través de los conceptos «afueras», «pliegue del sentir», «deseo infinito» y «capaz de vida».","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/una-propuesta-filosofica-sobre-la-vida-humana/226143","Seminario a cargo de Josep Maria Esquirol","3, 10, 17 y 24 mayo 2017","3, 10, 17 y 24 mayo 2017"
"Las raíces del odio","http://www.cccb.org/es/actividades/ficha/las-raices-del-odio/226180","Las raíces del odio","http://www.cccb.org/rcs_gene/imatgeperwebCCCB.png","Durante la edad media, Cataluña vivió el nacimiento de los mecanismos represivos que configuraron la persecución de minorías sociales y religiosas. ¿Cómo se llevó a cabo esta persecución? ¿Quiénes fueron los protagonistas? ¿Qué los motivó?","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/las-raices-del-odio/226180","Persecución y represión en la Edad Media","20 y 27 abril, 4 y 11 mayo 2017","20 y 27 abril, 4 y 11 mayo 2017"
"Bricolaje sonoro. Nuevas prácticas para una nueva música","http://www.cccb.org/es/actividades/ficha/bricolaje-sonoro-nuevas-practicas-para-una-nueva-musica/226187","Bricolaje sonoro. Nuevas prácticas para una nueva música","http://www.cccb.org/rcs_gene/imatgebricolatgeweb.png","¿En qué momento los objetos devienen instrumentos musicales? ¿Cómo se integran estos nuevos timbres? ¿Cuándo el ruido deviene música? A lo largo del siglo XX, el concepto de ruido y la producción del sonido con elementos no musicales devienen un nuevo paradigma para la práctica y la escucha musical.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/bricolaje-sonoro-nuevas-practicas-para-una-nueva-musica/226187","Seminario y taller a cargo de Ferran Fages","16 y 23 mayo, 6, 13 y 16 junio 2017","16 y 23 mayo, 6, 13 y 16 junio 2017"
"Fenómeno Fotolibro en familia","http://www.cccb.org/es/actividades/ficha/fenomeno-fotolibro-en-familia/226383","Fenómeno Fotolibro en familia","http://www.cccb.org/rcs_gene/fotollibre.jpg","¡Conviértete en un fotonarrador y atrévete a construir tu relato a través de imágenes!","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/fenomeno-fotolibro-en-familia/226383","¡Construye tu relato con fotografías!","17 marzo - 27 agosto 2017","17 marzo - 27 agosto 2017"
"DocsBarcelona 2017","http://www.cccb.org/es/actividades/ficha/docsbarcelona-2017/226669","DocsBarcelona 2017","http://www.cccb.org/rcs_gene/docs17.jpg","El Festival Internacional de Cine Documental de Barcelona celebra dos décadas de historia doblando su duración. Del 18 al 28 de mayo, ofrecerá 94 películas de 30 países y un mercado de financiación de proyectos de referencia, que convocará más de 500 profesionales.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/docsbarcelona-2017/226669","Festival Internacional de Cine Documental","18 - 28 mayo 2017","18 - 28 mayo 2017"
"Proyección de los premios del concurso de narrativa digital WPP17","http://www.cccb.org/es/actividades/ficha/proyeccion-de-los-premios-del-concurso-de-narrativa-digital-wpp17/226485","Proyección de los premios del concurso de narrativa digital WPP17","http://www.cccb.org/rcs_gene/WPP17_digitalstoritelling_fitxa.jpg","Sesión abierta en la que se proyectarán los trabajos audiovisuales premiados en las categorías de Formato corto y Formato largo del Concurso Narrativa Digital.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/proyeccion-de-los-premios-del-concurso-de-narrativa-digital-wpp17/226485","","17 mayo 2017","17 mayo 2017"
"20% de descuento para el concierto «Pompa británica», de Edward Elgar, con la Orquestra Simfònica del Vallès","http://www.cccb.org/es/actividades/ficha/20-de-descuento-para-el-concierto-pompa-britanica-de-edward-elgar-con-la-orquestra-simfonica-del-valles/226115","20% de descuento para el concierto «Pompa británica», de Edward Elgar, con la Orquestra Simfònica del Vallès","http://www.cccb.org/rcs_gene/OSV-maig.jpg","La composición más celebrada y popular de la Gran Bretaña.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/20-de-descuento-para-el-concierto-pompa-britanica-de-edward-elgar-con-la-orquestra-simfonica-del-valles/226115","Oferta exclusiva para Amigos del CCCB","20 mayo 2017","20 mayo 2017"
"Poner el cuerpo. Activismos feministas y queer","http://www.cccb.org/es/actividades/ficha/poner-el-cuerpo-activismos-feministas-y-queer/226229","Poner el cuerpo. Activismos feministas y queer","http://www.cccb.org/rcs_gene/PosarElCosWebCCCB.png","Tanto en el pensamiento como en la acción feminista actual, el cuerpo ha dejado de ser el depositario originario de la diferencia sexual para convertirse él mismo en el cuestionador revulsivo del sistema binario de sexo-género.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/poner-el-cuerpo-activismos-feministas-y-queer/226229","Dirigido por Meri Torras y Miriam Solá","19 y 26 abril, 3, 10, 17, 24 y 26 mayo 2017","19 y 26 abril, 3, 10, 17, 24 y 26 mayo 2017"
"El arte de la novela. Novelas del siglo XXI","http://www.cccb.org/es/actividades/ficha/el-arte-de-la-novela-novelas-del-siglo-xxi/224280","El arte de la novela. Novelas del siglo XXI","http://www.cccb.org/rcs_gene/Novela_webCCCB.png","El Institut ofrece en este curso, en forma de seminario intensivo, cuatro series conjuntas de lecciones bajo el título general de El arte de la novela, dedicadas este año a la novela del siglo XXI  —la inglesa y americana, la francesa, la italiana, la castellana y la catalana—, que introducirán a los asistentes en una selección de las grandes novelas de este siglo.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/el-arte-de-la-novela-novelas-del-siglo-xxi/224280","Curso dirigido por Jordi Llovet","14 y 28 marzo, 4, 11, 18 y 25 abril, 2, 9, 16 y 23 mayo, 6 y 13 junio 2017","14 y 28 marzo, 4, 11, 18 y 25 abril, 2, 9, 16 y 23 mayo, 6 y 13 junio 2017"
"Flexo 6/6: La extracción. Seminario a cargo de Jorge Luis Marzo","http://www.cccb.org/es/actividades/ficha/flexo-6-6-la-extraccion-seminario-a-cargo-de-jorge-luis-marzo/225976","Flexo 6/6: La extracción. Seminario a cargo de Jorge Luis Marzo","http://www.cccb.org/rcs_gene/extraccio_web.png","El seminario desarrollará una reflexión sobre la forma de pensar nuevas herramientas críticas en la era de la posverdad, dominada por las apariencias de sinceridad y emoción, en detrimento de las de certeza y veracidad. Ante la potencia de la mentira como discurso político ¿qué potencial papel constructivo tiene la falsedad? Mediante diversas lecturas y ejercicios se presentarán las figuras del fantasma y del impostor como activadores de otra esfera pública posible.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/flexo-6-6-la-extraccion-seminario-a-cargo-de-jorge-luis-marzo/225976","De «El corazón de las tinieblas» de Joseph Conrad a «La pulga de acero» de Nikolai Leskov","11, 18 y 25 mayo 2017","11, 18 y 25 mayo 2017"
"Las políticas de innovación y la seguridad nacional","http://www.cccb.org/es/actividades/ficha/las-politicas-de-innovacion-y-la-seguridad-nacional/226014","Las políticas de innovación y la seguridad nacional","http://www.cccb.org/rcs_gene/linda-weiss-1000.jpg","¿Qué efectos tendrán las políticas de innovación de los Estados Unidos en el escenario global? ¿Cuáles serán las consecuencias de la presidencia de Donald Trump en la hegemonía tecnológica estadounidense, el comercio internacional y la libre circulación de datos?","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/las-politicas-de-innovacion-y-la-seguridad-nacional/226014","Conferencia de Linda Weiss","25 mayo 2017","25 mayo 2017"
"Día y Noche de los Museos 2017","http://www.cccb.org/es/actividades/ficha/dia-y-noche-de-los-museos-2017/226716","Día y Noche de los Museos 2017","http://www.cccb.org/rcs_gene/nitmuseus_web.jpg","¡Celebra con nosotros el Día y la Noche de los Museos! Tendrás entrada libre a las exposiciones fotográficas «Fenómeno Fotolibro» y «World Press Photo 2017», podrás conseguir libros y catálogos del CCCB a muy buen precios y acabarás las noche del sábado disfrutando de una Poetry Slam, poesía en vivo y diversión asegurada.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/dia-y-noche-de-los-museos-2017/226716","Entrada gratuita a las exposiciones «Fenómeno Fotolibro» y «World Press Photo 2017»","18 y 20 mayo 2017","18 y 20 mayo 2017"
